eachPopularTitle,eachPopularLink,eachPopularLink href,businessContact,businessArea,businessArea 2,directionsLocationsBlock href
Hotel One Place,Email,mailto:gm@oneplace.co.i%20n,+91 8008758899,Hyderabad - 500072,Kukatpally,"http://www.google.com/maps/place/17.4948,78.3996"
Hotel Crystal Plaza,,,+91 4027700614,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Hotel Woodbridge Grand,Email,mailto:reservations@woodbridgegrand.com,+91 4066666111,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Sitara,Email,mailto:raoarvind77@gmail.com,+91 4066319402,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Taj Home Hotel,Email,mailto:tajhomehotel@gmail.com,+91 9393741715,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Mango Hotels,Email,mailto:secmg.mgr@staymango.com,+91 4060500118,Hyderabad - 500003,M G Road,"http://www.google.com/maps/place/17.4392,78.4885"
Hotel Samrat,Email,mailto:hotelsamrat1982@gmail.com,+91 4023774581,Hyderabad - 500037,Bala Nagar,"http://www.google.com/maps/place/17.465,78.451"
Hotel Hyderabad Heights,,,Invalid number,Hyderabad - 500028,Masab Tank,"http://www.google.com/maps/place/17.4037,78.4492"
Balaji Residency,Email,mailto:balajiresidency6666@gmail.com,+91 9246399912,Hyderabad - 500072,Kukatpally,"http://www.google.com/maps/place/17.4948,78.3996"
Hotel Maya Deluxe,Email,mailto:hotelmayadeluxe@gmail.com,+91 4027711271,Hyderabad - 500003,Ranigunj,"http://www.google.com/maps/place/17.4326,78.4908"
Hotel Balajee Palace,Email,mailto:hotelbalajee@yahoo.com,+91 8121612213,Hyderabad - 500003,Ranigunj,"http://www.google.com/maps/place/17.4326,78.4908"
Hotel Imax Inn,Email,mailto:imax.inn@gmail.com,+91 9391007211,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.386,78.4666"
R inn Residency,,,+91 4040059001,Hyderabad - 500033,Jubilee Hills,"http://www.google.com/maps/place/17.4325,78.407"
Hotel Hill Park Inn,Email,mailto:hotelhillpark@gmail.com,+91 4066669551,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Swagath Grand,Email,mailto:swagathgrand@gmail.com,Invalid number,Hyderabad - 500068,Nagole,"http://www.google.com/maps/place/17.3715,78.5695"
Hotel Samudra Inn,Email,mailto:samudrainnhotel@gmail.com,+91 9246999260,Hyderabad - 500003,P G Road,"http://www.google.com/maps/place/17.4401,78.485"
Orange Transit House,Email,mailto:orangetransithouse@yahoo.com,+91 8179553333,Hyderabad - 500082,Punjagutta,"http://www.google.com/maps/place/17.4265,78.4511"
Hotel Crystal Banjara,Email,mailto:info.hotelcrystalbanjara@gmail.com,+91 4023384477,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4037,78.4492"
Hotel Mannys Palace,Email,mailto:hotelmannyspalace@gmail.com,+91 9676000407,Hyderabad - 500003,M G Road,"http://www.google.com/maps/place/17.4392,78.4885"
Hotel Sneham,,,+91 4023875676,Hyderabad - 500037,Bala Nagar,"http://www.google.com/maps/place/17.465,78.451"
Hotel Swagath Residency,Email,mailto:swagatresidencykp@gmail.com,+91 9246507575,Hyderabad - 500072,Kukatpally,"http://www.google.com/maps/place/17.4948,78.3996"
Hotel Krrish Inn,Email,mailto:sale@hotelkrrishinn.com,+91 9030125656,Hyderabad - 500038,S R Nagar,"http://www.google.com/maps/place/17.4436,78.4458"
Falcons Nest Imperia Suites,Website,http://yellowpages.in/hyderabad/hotels/www.falconsnest.in,Invalid number,Hyderabad - 500033,Jubilee Hills,"http://www.google.com/maps/place/17.4325,78.407"
Hotel Nera Residency,Email,mailto:nerahospitality@gmail.com,+91 9908884869,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Hotel Nirmal Grand,,,+91 4027834567,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Hotel Hyderabad Grand,Email,mailto:info@hotelhyderabadgrand.com,+91 7729992786,Hyderabad - 501218,Shamshabad,"http://www.google.com/maps/place/17.2512,78.4377"
Hotel Mahaveer,,,+91 4027568611,Hyderabad - 500027,Kachiguda,"http://www.google.com/maps/place/17.3897,78.496"
Hotel Sudarshan,Email,mailto:info@hotelsudarshan.com,+91 9701091788,Hyderabad - 500029,Narayanguda,"http://www.google.com/maps/place/17.3986,78.493"
Hotel Athithi Inn,Email,mailto:hotelaththihyd@gmail.com,+91 9010611666,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Sheraton Hyderabad Hotel,Email,mailto:sheraton.hyderabad@sheraton.com,+91 4049251111,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Hotel Amogha Residency,Email,mailto:amogharesidency@gmail.com,+91 9989809993,Hyderabad - 500050,Chanda Nagar,"http://www.google.com/maps/place/17.4936,78.3253"
Hotel Vaishnaoi,Website,http://yellowpages.in/hyderabad/hotels/www.hotelvaishnaoi.co.in,Invalid number,Hyderabad - 500027,Kachiguda,"http://www.google.com/maps/place/17.3897,78.496"
Hotel Sitara Royal,Website,http://yellowpages.in/hyderabad/hotels/www.hotelsitararoyal.co.in,Invalid number,Hyderabad - 500095,Koti,"http://www.google.com/maps/place/17.3858,78.4795"
Hotel Maharaja Classic In,Email,mailto:res@maharajaclassicin.com,+91 8977035551,Hyderabad - 500027,Kachiguda,"http://www.google.com/maps/place/17.3897,78.496"
Hotel Majestic International,,,+91 8179993333,Hyderabad - 500020,Chikkadpally,"http://www.google.com/maps/place/17.4046,78.4948"
Hotel De Nova Residency,,,+91 4064645556,Hyderabad - 500028,Mehdipatnam,"http://www.google.com/maps/place/17.3916,78.4401"
Hotel Balaji Residency,Email,mailto:reservation@hotelbalajiresidency.com,+91 9032996688,Hyderabad - 500029,Himayat Nagar,"http://www.google.com/maps/place/17.4021,78.484"
Hotel New Sree Krishna Residency,Website,http://yellowpages.in/hyderabad/hotels/www.sreekrishnainn.com,Invalid number,Hyderabad - 500038,S R Nagar,"http://www.google.com/maps/place/17.4436,78.4458"
Serenity Inn,Website,http://yellowpages.in/hyderabad/hotels/www.serenityinn.in,Invalid number,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Hotel Marjan International,Email,mailto:hotelmarjaninternationalhyd@gmail.com,+91 4023244041,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.386,78.4666"
Hotel Swagath De Royal,Email,mailto:fnb@swagathderoyal.in,+91 9246534441,Hyderabad - 500081,Kondapur,"http://www.google.com/maps/place/17.4622,78.3568"
Hotel Brundavan Pride,Email,mailto:mannem.nishanth@gmail.com,+91 9030010522,Hyderabad - 500060,Dilsukh Nagar,"http://www.google.com/maps/place/17.3688,78.5247"
Hotel Swagath Grand,,,+91 4024025888,Hyderabad - 500070,Vanasthalipuram,"http://www.google.com/maps/place/17.3286,78.5753"
The Conclave Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.hoteltheconclave.com,Invalid number,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Kamat Lingapur Hotel,,,+91 9705066000,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.4447,78.4664"
Abinand Grand Hotels & Resorts,Email,mailto:info@abinandgrand.com,+91 4024039994,Hyderabad - 500074,L B Nagar,"http://www.google.com/maps/place/17.3457,78.5522"
The Amough Boutique Hotel,,,+91 9705400020,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4138,78.4398"
Kubeera Palace,Email,mailto:info@kubeerapalace.com,+91 7093003388,Hyderabad - 500029,Himayat Nagar,"http://www.google.com/maps/place/17.4021,78.484"
Hotel Garden View Inn,Email,mailto:info@gardenview.in,+91 4042000604,Hyderabad - 500081,Kondapur,"http://www.google.com/maps/place/17.4622,78.3568"
Raj Classic Inn,Email,mailto:rajclassicinn@gmail.com,+91 4027815291,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
SPG Grand Hotel,Email,mailto:gm.spggrand@gmail.com,+91 9248198444,Hyderabad - 500079,Karmanghat,"http://www.google.com/maps/place/17.341,78.5357"
Hotel Sitara,Email,mailto:marketing@ramojifilmcity.com,+91 8415246556,Hyderabad - 501505,Hayath Nagar,"http://www.google.com/maps/place/,"
Hotel Meridian Comfort Inn,Email,mailto:merediancomfort.inn@gmail.com,+91 4023348837,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.386,78.4666"
Mohammed Baba Hotel,,,+91 8801699701,Hyderabad - 500002,Charminar,"http://www.google.com/maps/place/17.3616,78.4747"
Hotel Deccan Park,Email,mailto:info@hoteldeccanpark.in,+91 8886855505,Hyderabad - 501218,Shamshabad,"http://www.google.com/maps/place/17.2512,78.4377"
Hotel Priya Residency,Email,mailto:reservations@hotelpriyaresidency.in,+91 4066173456,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Luminous One Continent Hotel,Email,mailto:info@onecontinenthotels.com,+91 9000207115,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.393,78.473"
Anshu Hotel Grand,Email,mailto:info@anushhotels.com,+91 4040040454,Hyderabad - 500029,Hyderguda,"http://www.google.com/maps/place/17.3943,78.4823"
The Golkonda Hotel,Email,mailto:info@golcondahotel.com,+91 4066110101,Hyderabad - 500028,Masab Tank,"http://www.google.com/maps/place/17.4037,78.4492"
Hotel Sri Krishna Residency,Email,mailto:info@srikrishnainn.com,+91 4023808182,Hyderabad - 500038,S R Nagar,"http://www.google.com/maps/place/17.4436,78.4458"
Hotel Palak Residency,Email,mailto:reservations@hotelpalak.com,+91 4064588800,Hyderabad - 500018,Erragadda,"http://www.google.com/maps/place/17.4563,78.4308"
Hotel Paradise,,,+91 4024655420,Hyderabad - 500001,Mozamjahi Market,"http://www.google.com/maps/place/17.3839,78.475"
Inner Circle Hotel,Email,mailto:sales@hotelinnercircle.net,+91 9951699516,Hyderabad - 500082,Somajiguda,"http://www.google.com/maps/place/17.4237,78.4584"
Sangam Hotel,,,+91 9866740266,Hyderabad - 500020,RTC X Roads,"http://www.google.com/maps/place/17.4026,78.4933"
Landmark Hotel,,,+91 4023035651,Hyderabad - 500050,Chanda Nagar,"http://www.google.com/maps/place/17.4936,78.3253"
Hotel My Bliss,,,+91 9949642421,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Hotel Log Inn,Email,mailto:s.hotelloginn@gmail.com,+91 9248001619,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel I K London Residency,Email,mailto:info@hoteliklondonresidency.co.in,+91 9346922271,Hyderabad - 500082,Somajiguda,"http://www.google.com/maps/place/17.4237,78.4584"
Hotel Rajmata,Email,mailto:royalrajmata@gmail.com,+91 4066665555,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.386,78.4666"
Best Western Ashoka Hotel,Email,mailto:info@bestwesternashoka.com,+91 4023230105,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Hotel Grandeur,Email,mailto:hotelgrandeurhyd@gmail.com,+91 8185042768,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel Rahul International,Email,mailto:rahulinternational@yahoo.com,+91 4027891666,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Hotel Shilpi Lodging & Restaurant,Email,mailto:hotelshilpi555@gmail.com,+91 9052008555,Hyderabad - 500060,Dilsukh Nagar,"http://www.google.com/maps/place/17.3688,78.5247"
Hotel My Choice,,,+91 4064599099,Hyderabad - 500001,Mozamjahi Market,"http://www.google.com/maps/place/17.3839,78.475"
Hotel Bramha,Email,mailto:info@hotelarihant.com,+91 9395141558,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Time Square The Landmark Hotel,Email,mailto:sales@timesquare.co.in,+91 4042222222,Hyderabad - 500003,S D Road,"http://www.google.com/maps/place/17.4407,78.4969"
Hotel Baseraa,Email,mailto:reserve@baseraa.com,+91 4027703200,Hyderabad - 500003,S D Road,"http://www.google.com/maps/place/17.4407,78.4969"
Hotel Sandarshini Inn,Email,mailto:sandarshiniinn@yahoo.co.in,+91 9885302282,Hyderabad - 500095,Koti,"http://www.google.com/maps/place/17.3858,78.4795"
Hotel Imax Inn,,,+91 9246554115,Hyderabad - 500001,Mozamjahi Market,"http://www.google.com/maps/place/17.3839,78.475"
Laxmi Hotel,,,+91 4023212366,Hyderabad - 500029,Hyderguda,"http://www.google.com/maps/place/17.3943,78.4823"
Hotel Central Park,Email,mailto:info@thehotelcentralpark.com,+91 9393660778,Hyderabad - 500029,Hyderguda,"http://www.google.com/maps/place/17.3943,78.4823"
Hotel Everest Residency,,,+91 8106674573,Hyderabad - 500003,Regimental Bazar,"http://www.google.com/maps/place/17.4391,78.5022"
Sana Heritage Inn Private Limited,,,+91 9246192088,Hyderabad - 500003,P G Road,"http://www.google.com/maps/place/17.4401,78.485"
Hotel Strawberrys,Email,mailto:reservations@hotelstrawberrys.com,+91 4066146614,Hyderabad - 500003,S P Road,"http://www.google.com/maps/place/17.442949,78.500184"
Margi Hotel,,,+91 4066779922,Hyderabad - 500038,Madhura Nagar,"http://www.google.com/maps/place/17.4388,78.4345"
Hotel Arihant,Email,mailto:info@hotelarihant.com,+91 9030001551,Hyderabad - 500027,Kachiguda,"http://www.google.com/maps/place/17.3897,78.496"
Royal Reve Hotel,Email,mailto:info@royalrevehotel.com,+91 4066677888,Hyderabad - 500003,S D Road,"http://www.google.com/maps/place/17.4407,78.4969"
Hotel Sri Sai Krupa,Email,mailto:info@hotelsrisaikrupa.com,+91 7207443218,Hyderabad - 500020,Chikkadpally,"http://www.google.com/maps/place/17.4046,78.4948"
Hotel Silver Park,Email,mailto:hotelsilverparkhyd@gmail.com,+91 4066451123,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel Rajdhani,Email,mailto:info@hotelrajdhani.com,+91 9290826639,Hyderabad - 500012,Siddiamber Bazar,"http://www.google.com/maps/place/17.3767,78.4751"
The Grand Solitaire Annex,Email,mailto:info@grandsolitaireannex.com,+91 4040223344,Hyderabad - 500003,S D Road,"http://www.google.com/maps/place/17.4407,78.4969"
Taj Tristar,Email,mailto:info@hoteltajtristar.com,+91 4027818989,Hyderabad - 500003,S D Road,"http://www.google.com/maps/place/17.4407,78.4969"
Anmol Continental Hotel,Email,mailto:operations@anmol-continental.com,+91 4023244449,Hyderabad - 500004,Saifabad,"http://www.google.com/maps/place/17.4046,78.4663"
Hotel Ambassador,,,+91 4027843760,Hyderabad - 500003,Paradise,"http://www.google.com/maps/place/17.4436,78.4907"
Hotel Annapoorna Residency,Email,mailto:info@annapoornaresidency.com,+91 4027891221,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.4399,78.4983"
Hotel Meredian Residency,Email,mailto:hotalmeredian.hyd@gmail.com,+91 9848383804,Hyderabad - 500003,Monda Market,"http://www.google.com/maps/place/17.4337,78.4958"
Radisson Blu Plaza,,,+91 9595333333,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.421574,78.442874"
Wood Bridge Grand,Email,mailto:sales@woodbridgegrand.com,+91 4067666111,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Trident Hotel,Email,mailto:reservation.hyderabad@tridenthotels.com,+91 4066232323,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Aditya Park,Email,mailto:reservations@hoteladityapark.com,+91 4066788888,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel Meredian Palace,,,+91 9848383804,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.3993,78.4627"
Lemon Tree Hotel,Email,mailto:hi.gb@lemontreehotels.com,+91 4044141414,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Lemon Tree Premier Hotel,Email,mailto:hi.hy@lemontreehotels.com,+91 4044212121,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Green Park Hotel,Email,mailto:reserv.hyd@hotelgreenpark.com,+91 4066515151,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Courtyard Hotel,Email,mailto:reservations.hyderabad@marriotthotels.com,+91 4027521222,Hyderabad - 500029,Lower Tank Bund,"http://www.google.com/maps/place/17.4148,78.4851"
Hyatt Hotel,Email,mailto:hyderabad.hyatthotels@hyatt.com,+91 4048481234,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.4401,78.3489"
Hotel Marvel Residency,Email,mailto:hotelmavelresidency@gmail.com,+91 4064598836,Hyderabad - 500082,Punjagutta,"http://www.google.com/maps/place/17.4265,78.4511"
Taj Deccan Hotels,Email,mailto:deccan.hyderabad@tajhotels.com,+91 4066663939,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.4138,78.4398"
Hotel Aanchal Residency,Email,mailto:hotel_aanchalresidency@gmail.com,+91 4066785551,Hyderabad - 500004,Red Hills,"http://www.google.com/maps/place/17.3964,78.4681"
Expotel Hotel,Email,mailto:info@expotelhotels.com,+91 9010190101,Hyderabad - 500029,Lower Tank Bund,"http://www.google.com/maps/place/17.4148,78.4851"
Hotel Rainbow International,,,+91 4066787001,Hyderabad - 500004,Red Hills,"http://www.google.com/maps/place/17.3964,78.4681"
Hotel Surabhi Pride,Website,http://yellowpages.in/hyderabad/hotels/www.surabhipride.com,Invalid number,Hyderabad - 500066,Suchitra Cross Road,"http://www.google.com/maps/place/17.4399,78.4983"
Hotel Imperial Classic,Email,mailto:info@imperialclassic.in,+91 4066137698,Hyderabad - 500020,Chikkadpally,"http://www.google.com/maps/place/17.4046,78.4948"
Sri Sai Balaji Hotel,,,+91 9849728109,Hyderabad - 500027,Kachiguda,"http://www.google.com/maps/place/17.3897,78.496"
Grand Sandarshini Inn,Email,mailto:sandarshiniinn@gmail.com,+91 9885302282,Hyderabad - 500095,Koti,"http://www.google.com/maps/place/17.3858,78.4795"
Siesta Hitech Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.siestaindia.com,Invalid number,Hyderabad - 500081,Kondapur,"http://www.google.com/maps/place/17.4622,78.3568"
Hotel Novotel Convention Centre,Email,mailto:h6182-re@accor.com,+91 4066824422,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.4483,78.3915"
Hotel Kanha Grand,Email,mailto:kanhagrouphyd@yahoo.com,+91 9705342225,Hyderabad - 500004,Red Hills,"http://www.google.com/maps/place/17.3964,78.4681"
Hometel Hotel,Email,mailto:ahh@saroverhotels.com,+91 4066308888,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.4375,78.4483"
Hotel Anmol Continental,Email,mailto:operations@anmol-continental.com,+91 4023242999,Hyderabad - 500004,Saifabad,"http://www.google.com/maps/place/17.4046,78.4663"
Hotel Kanak International Boarding & Lodging,,,+91 4066661414,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.393,78.473"
Hotel Ashoka,Website,http://yellowpages.in/hyderabad/hotels/bestwesternashoka.com,Invalid number,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.403967,78.465249"
Bistro Hotel,Email,mailto:re@royaltonhotel.in,+91 8121082015,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.39235,78.474097"
Hyderabad Marriott Hotel & Convention Centre,Email,mailto:viceroy@viceroyhotels.com,+91 4027522999,Hyderabad - 500029,Lower Tank Bund,"http://www.google.com/maps/place/17.415061,78.464829"
Hotel Novotel,Website,http://yellowpages.in/hyderabad/hotels/www.accorhotels.com,Invalid number,Hyderabad - 501218,Shamshabad,"http://www.google.com/maps/place/17.240263,78.429385"
The Platinum Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.theplatinumhotel.in,Invalid number,Hyderabad - 500029,Himayat Nagar,"http://www.google.com/maps/place/17.401271,78.486771"
Katriya Hotel,Email,mailto:resv@katriyahotel.com,+91 4023325678,Hyderabad - 500082,Somajiguda,"http://www.google.com/maps/place/17.424608,78.459503"
Pearl Regency,Email,mailto:sendmailtopearlregency@rediffmail.com,+91 4066666555,Hyderabad - 500004,Lakdi Ka Pool,"http://www.google.com/maps/place/17.404586,78.46283"
Taj Falaknuma Palace,,,+91 4066298585,Hyderabad - 500053,Falaknuma,"http://www.google.com/maps/place/17.332527,78.474599"
Hotel Parklane,Email,mailto:parklanehotel@yahoo.com,+91 4027840466,Hyderabad - 500003,Secunderabad,"http://www.google.com/maps/place/17.438681,78.488865"
Taj Mahal Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.tajmahalhotel.in,Invalid number,Hyderabad - 500029,Narayanguda,"http://www.google.com/maps/place/17.399582,78.492443"
The Manohar Hotel,Website,http://yellowpages.in/hyderabad/hotels/www.themanohar.com,Invalid number,Hyderabad - 500016,Begumpet,"http://www.google.com/maps/place/17.444783,78.471424"
Hotel Sai Prakash,Website,http://yellowpages.in/hyderabad/hotels/www.hotelsaiprakash.in,Invalid number,Hyderabad - 500001,Nampally,"http://www.google.com/maps/place/17.390774,78.467761"
Hotel SG Comforts,Website,http://yellowpages.in/hyderabad/hotels/www.sgcomforts.com,Invalid number,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.393427,78.474089"
Ellaa Hotels,Website,http://yellowpages.in/hyderabad/hotels/www.ellaahotels.com,Invalid number,Hyderabad - 500032,Gachibowli,"http://www.google.com/maps/place/17.441935,78.344586"
Hotel Mandakini Jaya International,Email,mailto:hoteljaya@hotmail.com,+91 4024752929,Hyderabad - 500001,Abids,"http://www.google.com/maps/place/17.389698,78.478345"
Aditya Hometel,,,+91 4066308888,Hyderabad - 500016,Ameerpet,"http://www.google.com/maps/place/17.438178,78.448599"
Taj Banjara,Email,mailto:lata.ramunny@tajhotels.com,+91 4066669999,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.410041,78.448524"
The Mandava Hotels,,,+91 4040164488,Hyderabad - 500081,Madhapur,"http://www.google.com/maps/place/17.455434,78.386578"
Hotel Urvasi,Email,mailto:reservations.urvasi@butta.com,+91 9912022264,Hyderabad - 500082,Punjagutta,"http://www.google.com/maps/place/17.422465,78.455231"
Ebony Boutique Hotel,Email,mailto:info@ebonyhotel.com,+91 9248008802,Hyderabad - 500034,Banjara Hills,"http://www.google.com/maps/place/17.468952,78.359645"
Yatri Nivas Hotel,,,+91 4023461855,Hyderabad - 500003,S P Road,"http://www.google.com/maps/place/17.4447,78.4569"
